,company,revenue,valuation,funding_rised
0, Sendoso ,24000.0,540000.0,152700.0
1, Freshworks ,337800.0,9100000.0,1500000.0
2, Drift ,120000.0,1000000.0,107000.0
3, Hotjar ,25000.0,0.0,0.0
4, Pendo ,100000.0,2600000.0,469600.0
5, LeagueApps ,15000.0,220000.0,38200.0
6, Contentful ,58400.0,3000000.0,349600.0
7, Typeform ,75000.0,935000.0,186900.0
8, Suzy ,40000.0,400000.0,119000.0
9, Gong ,120000.0,7300000.0,583000.0
10, Zapier ,140000.0,5000000.0,1400.0
11, Outreach ,158000.0,4200000.0,488700.0
12, Hopin ,100000.0,7800000.0,1000000.0
13, Wasabi ,54000.0,700000.0,341400.0
14, Yotpo ,38400.0,1400000.0,436000.0
15, Supermetrics ,51700.0,280000.0,45900.0
16, ClickUp ,80000.0,4000000.0,537500.0
17, Convertkit ,29000.0,196000.0,0.0
18, Salesloft ,110000.0,1100000.0,244300.0
19, Bizzabo ,22000.0,800000.0,194500.0
20, Mode Analytics ,40000.0,300000.0,79800.0
21, Chili Piper ,16200.0,625000.0,58000.0
22, Lemlist ,10000.0,150000.0,30000.0
23, HomeGauge ,4200.0,0.0,0.0
24, Defense Counterintelligence and Security Agency (DCSA) ,0.0,0.0,0.0
25, Parsley Software ,480.0,0.0,0.0
26, Treehouse ,24000.0,0.0,12400.0
27, Kera ,172.9,0.0,0.0
28, Almabase ,1200.0,0.0,0.0
29, TPConnects ,6900.0,0.0,0.0
30, CultureHQ ,0.0,0.0,0.0
31, AppOmni ,14800.0,0.0,123000.0
32, QuickLaunch ,292.2,0.0,0.0
33, Tagboard ,5500.0,0.0,14600.0
34, Relaso Enterprise Software ,917.3,0.0,0.0
35, Ness Labs ,75.0,0.0,0.0
36, CloudNow Technologies ,4800.0,0.0,0.0
37, DotYeti.com ,120.0,0.0,0.0
38, LeadCrunch ,11700.0,200000.0,19500.0
39, Youdontneedacrm ,2500.0,0.0,0.0
40, Brandlive ,3000.0,0.0,22500.0
41, Oolium ,64.4,0.0,0.0
42, Freckle by Renaissance ,660.0,0.0,0.0
43, MySchedule ,164.2,0.0,0.0
44, Ziplyne ,0.0,0.0,0.0
45, Beatswitch ,491.4,198.2,1300.0
46, Readyportal ,131.0,0.0,0.0
47, Tootoot Ltd. ,418.4,0.0,0.0
48, Monitask.com ,200.0,0.0,0.0
49, Pymlo-Accounting ,0.0,1000.0,30.0
